date,epic,direction,pnl,exit,duration
2025-11-05T14:46:27.291334,BTCUSD,BUY,-375.23249999999825,SL,188s
2025-11-05T14:52:45.362044,BTCUSD,SELL,-467.83000000000175,SL,476s
2025-11-05T15:01:46.354912,BTCUSD,BUY,-465.5112500000105,SL,537s
2025-11-05T15:02:29.271228,BTCUSD,BUY,-380.84749999998894,SL,308s
2025-11-05T15:03:06.416643,BTCUSD,BUY,-415.8649999999907,SL,737s
2025-11-05T15:03:16.305338,BTCUSD,BUY,-397.9149999999936,SL,777s
2025-11-05T15:40:03.825692,BTCUSD,SELL,-456.0587499999965,SL,3374s
2025-11-05T15:40:26.529810,BTCUSD,SELL,-388.3099999999977,SL,2706s
2025-11-05T15:40:27.101878,BTCUSD,SELL,-385.8149999999878,SL,2526s
2025-11-05T15:41:12.153038,BTCUSD,SELL,-362.22624999999243,SL,2782s
2025-11-05T18:26:58.474469,BTCUSD,BUY,1014.4725000000035,TP,13179s
2025-11-05T18:36:09.801964,BTCUSD,BUY,971.3175000000047,TP,13820s
