date,epic,direction,pnl,exit,duration
2025-11-17T12:09:02.740599,EURUSD,BUY,-7.359999999989597e-05,TrailSL,255s
2025-11-17T12:09:02.741555,EURUSD,BUY,-0.00011249999999973781,TrailSL,225s
2025-11-17T12:46:52.714700,EURUSD,BUY,-0.00012457142857136283,SL,371s
2025-11-17T12:47:20.866779,EURUSD,BUY,-1.2399999999912481e-05,TrailSL,431s
2025-11-17T12:55:50.084310,EURUSD,BUY,-0.0001314285714284491,SL,126s
2025-11-17T12:57:31.664871,EURUSD,SELL,-0.0001291428571428277,SL,101s
2025-11-17T12:59:31.001187,EURUSD,SELL,-3.2400000000043505e-05,TrailSL,439s
2025-11-17T13:01:17.771038,EURUSD,BUY,-9.359999999980495e-05,TrailSL,79s
2025-11-17T13:01:25.881846,EURUSD,BUY,-3.129999999984534e-05,TrailSL,213s
2025-11-17T13:05:09.820060,EURUSD,SELL,-9.679999999989697e-05,TrailSL,217s
2025-11-17T13:07:30.199819,EURUSD,BUY,-0.0001291428571428277,SL,130s
2025-11-17T13:08:55.254243,EURUSD,SELL,0.00035671428571415476,TP,278s
2025-11-17T13:08:55.254243,EURUSD,SELL,0.00034885714285715075,TP,91s
2025-11-17T13:09:02.275399,EURUSD,SELL,0.00034728571428566113,TP,65s
2025-11-17T13:09:44.556699,EURUSD,SELL,0.00037557142857136405,TP,44s
2025-11-17T13:11:26.681824,EURUSD,SELL,-0.0001371428571428357,SL,85s
2025-11-17T13:13:28.816297,EURUSD,BUY,8.01000000001384e-05,TrailSL,146s
2025-11-17T13:14:12.994235,EURUSD,BUY,-5.299999999763827e-06,TrailSL,160s
2025-11-17T13:18:27.423227,EURUSD,SELL,-0.00014571428571419354,SL,138s
2025-11-17T13:22:04.819143,EURUSD,SELL,-6.339999999993573e-05,TrailSL,161s
2025-11-17T13:22:06.805827,EURUSD,SELL,-7.299999999998974e-05,TrailSL,573s
2025-11-17T13:22:13.869704,EURUSD,SELL,-0.00015290000000001136,TrailSL,517s
2025-11-17T13:25:38.254030,EURUSD,BUY,2.4200000000140776e-05,TrailSL,278s
2025-11-17T13:25:38.257055,EURUSD,BUY,-4.9199999999860466e-05,TrailSL,208s
2025-11-17T13:31:50.409503,EURUSD,SELL,-0.00011810789473698513,TrailSL,66s
2025-11-17T13:36:27.628060,EURUSD,BUY,-0.0001262857142856344,SL,115s
2025-11-17T13:36:29.102200,EURUSD,BUY,-1.240789473699877e-05,TrailSL,280s
2025-11-17T13:38:05.156174,EURUSD,SELL,0.0003425714285714143,TP,278s
2025-11-17T13:40:01.157686,EURUSD,SELL,0.0003834285714285901,TP,189s
2025-11-17T13:45:59.629470,EURUSD,SELL,1.3292105263129628e-05,TrailSL,363s
2025-11-17T13:45:59.629470,EURUSD,SELL,7.219210526332454e-05,TrailSL,456s
2025-11-17T13:45:59.630489,EURUSD,SELL,-4.6707894736819355e-05,TrailSL,207s
2025-11-17T13:46:49.507656,EURUSD,BUY,-3.330789473698914e-05,TrailSL,33s
2025-11-17T13:49:02.404302,EURUSD,BUY,-0.0001451428571428437,SL,38s
2025-11-17T13:50:12.656720,EURUSD,SELL,-0.00015714285714296672,SL,47s
2025-11-17T13:53:00.162293,EURUSD,BUY,-0.00011610789473670557,TrailSL,155s
2025-11-17T14:02:13.353634,EURUSD,BUY,0.0003912857142855941,TP,337s
2025-11-17T14:23:26.624075,EURUSD,BUY,0.0003331428571429207,TP,1427s
2025-11-17T14:25:00.692781,EURUSD,BUY,0.0004022857142857994,TP,1674s
2025-11-17T14:30:08.409160,EURUSD,BUY,5.400000000044258e-06,TrailSL,1675s
2025-11-17T14:31:36.949124,EURUSD,BUY,-0.00012000000000012001,SL,167s
2025-11-17T14:31:42.944324,EURUSD,BUY,-9.809999999998986e-05,TrailSL,49s
2025-11-17T14:35:50.020561,EURUSD,BUY,-0.00011899999999998023,TrailSL,203s
2025-11-17T14:38:53.935142,EURUSD,BUY,-0.00016514285714275267,SL,48s
2025-11-17T14:38:53.936143,EURUSD,SELL,0.00042585714285703347,TP,170s
2025-11-17T14:39:35.728328,EURUSD,SELL,0.000455714285714226,TP,150s
2025-11-17T14:41:26.415580,EURUSD,SELL,0.00046199999999996244,TP,136s
2025-11-17T14:45:30.479046,EURUSD,SELL,-0.00017599999999995397,SL,227s
2025-11-17T14:45:35.462040,EURUSD,SELL,3.9499999999970115e-05,TrailSL,355s
2025-11-17T14:49:02.972279,EURUSD,SELL,-0.00014914285714273667,SL,130s
2025-11-17T14:49:45.700928,EURUSD,BUY,-0.000140000000000029,SL,81s
2025-11-17T14:51:35.332282,EURUSD,SELL,-0.00013942857142867915,SL,93s
2025-11-17T14:53:11.872386,EURUSD,SELL,-0.00015142857142858013,SL,37s
2025-11-17T14:53:12.117176,EURUSD,BUY,0.0004242857142857659,TP,536s
2025-11-17T14:55:46.873999,EURUSD,BUY,-0.00015257142857150185,SL,131s
2025-11-17T14:55:47.065539,EURUSD,BUY,5.2399999999952485e-05,TrailSL,284s
2025-11-17T14:55:51.071655,EURUSD,BUY,3.0399999999985994e-05,TrailSL,600s
2025-11-17T14:59:00.396403,EURUSD,BUY,-8.76000000000765e-05,TrailSL,102s
2025-11-17T15:00:38.364430,EURUSD,SELL,0.00041800000000002946,TP,325s
2025-11-17T15:03:25.007525,EURUSD,SELL,-0.00011199999999988997,TrailSL,154s
2025-11-17T15:03:25.008625,EURUSD,SELL,6.229999999995961e-05,TrailSL,185s
2025-11-17T15:06:25.454019,EURUSD,BUY,-7.299999999998974e-05,TrailSL,182s
2025-11-17T15:06:25.455017,EURUSD,BUY,1.3999999999292356e-06,TrailSL,212s
2025-11-17T15:06:56.968806,EURUSD,SELL,-0.00015428571428577342,SL,26s
2025-11-17T15:11:15.240330,EURUSD,SELL,-0.00014342857142857213,SL,42s
2025-11-17T15:11:29.624343,EURUSD,SELL,-7.209999999990835e-05,TrailSL,177s
2025-11-17T15:11:47.182556,EURUSD,SELL,2.9199999999951487e-05,TrailSL,410s
2025-11-17T15:11:47.182556,EURUSD,SELL,-2.969999999979933e-05,TrailSL,378s
2025-11-17T15:16:24.858394,EURUSD,SELL,-0.000140000000000029,SL,184s
2025-11-17T15:17:01.082428,EURUSD,SELL,-0.00014114285714295072,SL,254s
2025-11-17T15:17:47.362690,EURUSD,BUY,0.000411714285714293,TP,372s
2025-11-17T15:18:38.879451,EURUSD,BUY,0.00036771428571436005,TP,128s
2025-11-17T15:21:34.326461,EURUSD,BUY,0.0003865714285713473,TP,214s
2025-11-17T15:23:04.405771,EURUSD,BUY,0.00037714285714285367,TP,181s
2025-11-17T15:28:12.678459,EURUSD,BUY,-4.9899999999825084e-05,TrailSL,389s
2025-11-17T15:32:48.714651,EURUSD,SELL,2.1898333333103537e-05,TrailSL,102s
2025-11-17T15:36:31.130709,EURUSD,BUY,-0.0001394285714284571,SL,110s
2025-11-17T15:38:37.546408,EURUSD,SELL,-0.0001451428571428437,SL,38s
2025-11-17T15:40:39.129605,EURUSD,BUY,5.3098333333112535e-05,TrailSL,481s
2025-11-17T15:40:39.129605,EURUSD,BUY,-1.2401666666717048e-05,TrailSL,450s
2025-11-17T15:40:56.340581,EURUSD,BUY,-1.440166666677456e-05,TrailSL,282s
2025-11-17T15:41:08.323903,EURUSD,BUY,-0.0001198016666668078,TrailSL,125s
2025-11-17T15:45:07.462849,EURUSD,SELL,-0.00015371428571420154,SL,206s
2025-11-17T15:48:37.487880,EURUSD,SELL,-0.00013485714285721428,SL,122s
2025-11-17T15:49:03.232349,EURUSD,SELL,-5.310166666672167e-05,TrailSL,472s
2025-11-17T15:53:45.229262,EURUSD,SELL,-0.00013085714285709926,SL,214s
2025-11-17T15:54:27.845930,EURUSD,BUY,0.0003834285714285901,TP,571s
2025-11-17T15:55:27.676869,EURUSD,BUY,0.00036771428571436005,TP,498s
2025-11-17T15:56:15.222011,EURUSD,BUY,0.00034728571428566113,TP,424s
2025-11-17T15:56:21.224171,EURUSD,BUY,0.00035200000000013,TP,218s
2025-11-17T15:56:56.844002,EURUSD,BUY,0.00036457142857160285,TP,192s
2025-11-17T15:56:57.863588,EURUSD,BUY,0.0003582857142858664,TP,159s
