date,epic,direction,pnl,exit,duration
2025-11-17T13:45:12.516969,GBPUSD,BUY,-0.0002674285714285851,SL,284s
2025-11-17T14:11:32.194528,GBPUSD,SELL,-9.780000000025879e-05,TrailSL,1215s
2025-11-17T14:35:00.160598,GBPUSD,SELL,-0.0002651428571429637,SL,102s
2025-11-17T14:36:26.094210,GBPUSD,BUY,-0.0002697142857142065,SL,62s
2025-11-17T14:37:00.797723,GBPUSD,BUY,-0.000157600000000091,TrailSL,157s
2025-11-17T14:42:40.214777,GBPUSD,SELL,0.000763714285714423,TP,406s
2025-11-17T14:45:35.960698,GBPUSD,SELL,7.919999999983496e-05,TrailSL,518s
2025-11-17T14:45:35.960698,GBPUSD,SELL,-8.50000000007789e-06,TrailSL,488s
2025-11-17T14:49:45.922205,GBPUSD,BUY,-0.000264000000000042,SL,36s
2025-11-17T14:49:46.717014,GBPUSD,BUY,3.779999999986572e-05,TrailSL,249s
2025-11-17T14:49:46.717968,GBPUSD,BUY,-0.0001066999999999041,TrailSL,128s
2025-11-17T14:55:34.316748,GBPUSD,BUY,-0.00026285714285712025,SL,233s
2025-11-17T14:58:01.820900,GBPUSD,BUY,-0.00016230000000017064,TrailSL,410s
2025-11-17T15:08:40.941175,GBPUSD,BUY,0.00016110000000013613,TrailSL,345s
2025-11-17T15:09:15.683257,GBPUSD,BUY,-0.00017529999999998935,TrailSL,349s
2025-11-17T15:57:35.521134,GBPUSD,SELL,-0.00015790000000004412,TrailSL,9s
2025-11-17T16:03:36.019860,GBPUSD,BUY,-0.0003034285714285101,SL,280s
2025-11-17T16:09:07.689228,GBPUSD,SELL,0.0008061428571428664,TP,368s
2025-11-17T16:10:20.405304,GBPUSD,SELL,4.450000000000287e-05,TrailSL,350s
2025-11-17T16:10:20.405304,GBPUSD,SELL,0.00018270000000009112,TrailSL,381s
2025-11-17T16:12:03.733906,GBPUSD,BUY,-0.0002423000000000286,TrailSL,83s
2025-11-17T16:19:31.705696,GBPUSD,SELL,0.0002177999999999347,TrailSL,470s
2025-11-17T16:19:32.204633,GBPUSD,SELL,-1.6499999999863846e-05,TrailSL,440s
2025-11-17T16:19:32.205593,GBPUSD,SELL,-0.00016330000000008837,TrailSL,410s
2025-11-18T13:09:58.972903,GBPUSD,SELL,0.0007747142857141842,TP,78s
2025-11-18T13:13:15.246538,GBPUSD,SELL,0.00022449999999984982,TrailSL,184s
2025-11-18T13:16:07.070664,GBPUSD,SELL,-0.0003485714285713648,SL,76s
2025-11-18T13:21:01.105880,GBPUSD,BUY,0.0009570000000000967,TP,468s
2025-11-18T13:23:00.682260,GBPUSD,BUY,0.00018319999999993897,TrailSL,427s
2025-11-18T13:23:01.203287,GBPUSD,BUY,0.0002779999999997784,TrailSL,460s
2025-11-18T13:26:05.228859,GBPUSD,SELL,-2.6699999999824087e-05,TrailSL,178s
2025-11-18T13:28:08.300375,GBPUSD,BUY,-0.0003171428571429047,SL,28s
2025-11-18T13:30:09.002881,GBPUSD,SELL,-0.00032799999999988394,SL,119s
2025-11-18T13:30:28.501491,GBPUSD,BUY,0.00015380000000009275,TrailSL,258s
2025-11-18T13:30:29.009800,GBPUSD,BUY,-6.150000000015865e-05,TrailSL,229s
2025-11-18T13:30:29.251929,GBPUSD,BUY,-0.0003314285714286491,SL,16s
2025-11-18T13:35:39.236404,GBPUSD,SELL,-0.0003491428571429367,SL,114s
2025-11-18T13:35:39.426638,GBPUSD,SELL,-0.00013540000000000774,TrailSL,357s
2025-11-18T13:38:41.325775,GBPUSD,BUY,-0.00033714285714281367,SL,143s
2025-11-18T13:42:42.452930,GBPUSD,SELL,-0.00023080000000019751,TrailSL,232s
