timestamp,ask,ask_size,bid,bid_size
1768465014232,3324.63,6.0,3322.88,6.0
1768465014446,3324.78,6.0,3323.03,6.0
1768465014531,3324.65,6.0,3322.9,6.0
1768465015082,3324.63,6.0,3322.88,6.0
1768465015221,3324.76,6.0,3323.01,6.0
1768465015325,3324.71,6.0,3322.96,6.0
1768465015729,3324.65,6.0,3322.9,6.0
1768465016515,3324.63,6.0,3322.88,6.0
1768465016626,3324.6,6.0,3322.85,6.0
1768465020143,3324.72,6.0,3322.97,6.0
1768465020350,3324.79,6.0,3323.04,6.0
1768465020455,3324.92,6.0,3323.17,6.0
1768465020569,3324.96,6.0,3323.21,6.0
1768465020627,3324.83,6.0,3323.08,6.0
1768465021096,3324.78,6.0,3323.03,6.0
1768465021449,3324.73,6.0,3322.98,6.0
1768465021553,3324.62,6.0,3322.87,6.0
1768465021656,3324.68,6.0,3322.93,6.0
1768465021765,3324.6,6.0,3322.85,6.0
1768465022017,3324.47,6.0,3322.72,6.0
1768465022128,3324.5,6.0,3322.75,6.0
1768465022366,3324.52,6.0,3322.77,6.0
1768465022440,3324.38,6.0,3322.63,6.0
1768465022554,3324.4,6.0,3322.65,6.0
1768465022665,3324.39,6.0,3322.64,6.0
1768465022785,3324.34,6.0,3322.59,6.0
1768465022895,3324.39,6.0,3322.64,6.0
1768465023015,3324.52,6.0,3322.77,6.0
1768465023249,3324.56,6.0,3322.81,6.0
1768465023356,3324.58,6.0,3322.83,6.0
1768465023694,3324.53,6.0,3322.78,6.0
1768465023806,3324.52,6.0,3322.77,6.0
1768465023945,3324.54,6.0,3322.79,6.0
1768465024445,3324.59,6.0,3322.84,6.0
1768465024565,3324.58,6.0,3322.83,6.0
1768465024964,3324.55,6.0,3322.8,6.0
1768465025341,3324.54,6.0,3322.79,6.0
1768465025875,3324.59,6.0,3322.84,6.0
1768465026111,3324.56,6.0,3322.81,6.0
1768465026329,3324.54,6.0,3322.79,6.0
1768465027440,3324.51,6.0,3322.76,6.0
1768465027670,3324.48,6.0,3322.73,6.0
1768465027775,3324.4,6.0,3322.65,6.0
1768465027881,3324.35,6.0,3322.6,6.0
1768465027990,3324.21,6.0,3322.46,6.0
1768465028135,3324.12,6.0,3322.37,6.0
1768465028255,3324.2,6.0,3322.45,6.0
1768465028356,3324.09,6.0,3322.34,6.0
1768465028434,3323.95,6.0,3322.2,6.0
1768465028784,3323.87,6.0,3322.12,6.0
1768465028905,3323.9,6.0,3322.15,6.0
1768465029015,3323.95,6.0,3322.2,6.0
1768465029245,3323.92,6.0,3322.17,6.0
1768465029471,3323.98,6.0,3322.23,6.0
1768465029584,3323.95,6.0,3322.2,6.0
1768465029692,3323.89,6.0,3322.14,6.0
1768465030147,3323.91,6.0,3322.16,6.0
1768465030888,3323.87,6.0,3322.12,6.0
1768465031268,3323.9,6.0,3322.15,6.0
1768465031596,3323.87,6.0,3322.12,6.0
1768465031715,3323.9,6.0,3322.15,6.0
1768465031825,3323.93,6.0,3322.18,6.0
1768465032048,3323.96,6.0,3322.21,6.0
1768465032165,3323.93,6.0,3322.18,6.0
1768465032735,3323.91,6.0,3322.16,6.0
1768465033125,3323.87,6.0,3322.12,6.0
1768465033468,3323.77,6.0,3322.02,6.0
1768465033584,3323.72,6.0,3321.97,6.0
1768465033690,3323.81,6.0,3322.06,6.0
1768465033746,3323.91,6.0,3322.16,6.0
1768465033885,3323.85,6.0,3322.1,6.0
1768465034537,3323.92,6.0,3322.17,6.0
1768465034788,3323.88,6.0,3322.13,6.0
1768465034890,3323.85,6.0,3322.1,6.0
1768465035147,3323.78,6.0,3322.03,6.0
1768465035535,3323.85,6.0,3322.1,6.0
1768465036193,3323.79,6.0,3322.04,6.0
1768465036634,3323.88,6.0,3322.13,6.0
1768465036847,3323.85,6.0,3322.1,6.0
1768465036954,3323.92,6.0,3322.17,6.0
1768465037084,3323.89,6.0,3322.14,6.0
1768465037314,3323.9,6.0,3322.15,6.0
1768465037430,3323.96,6.0,3322.21,6.0
1768465037535,3323.99,6.0,3322.24,6.0
1768465037764,3324.0,6.0,3322.25,6.0
1768465038115,3323.99,6.0,3322.24,6.0
1768465038234,3323.98,6.0,3322.23,6.0
1768465038685,3324.01,6.0,3322.26,6.0
1768465038925,3323.98,6.0,3322.23,6.0
1768465039645,3323.97,6.0,3322.22,6.0
1768465039749,3324.0,6.0,3322.25,6.0
1768465039852,3324.07,6.0,3322.32,6.0
1768465040057,3324.08,6.0,3322.33,6.0
1768465040166,3324.07,6.0,3322.32,6.0
1768465040272,3324.03,6.0,3322.28,6.0
1768465040636,3324.01,6.0,3322.26,6.0
1768465040748,3323.91,6.0,3322.16,6.0
1768465040835,3323.74,6.0,3321.99,6.0
1768465040900,3323.89,6.0,3322.14,6.0
1768465041129,3323.79,6.0,3322.04,6.0
1768465041970,3323.8,6.0,3322.05,6.0
1768465042218,3323.77,6.0,3322.02,6.0
1768465042336,3323.74,6.0,3321.99,6.0
1768465042489,3323.75,6.0,3322.0,6.0
1768465042605,3323.76,6.0,3322.01,6.0
1768465042690,3323.87,6.0,3322.12,6.0
1768465042834,3323.81,6.0,3322.06,6.0
1768465042943,3323.75,6.0,3322.0,6.0
1768465043074,3323.8,6.0,3322.05,6.0
1768465044164,3323.76,6.0,3322.01,6.0
1768465044390,3323.78,6.0,3322.03,6.0
1768465044975,3323.81,6.0,3322.06,6.0
1768465045095,3323.8,6.0,3322.05,6.0
1768465045428,3323.79,6.0,3322.04,6.0
1768465046088,3323.76,6.0,3322.01,6.0
1768465046630,3323.83,6.0,3322.08,6.0
1768465046994,3323.79,6.0,3322.04,6.0
1768465047108,3323.83,6.0,3322.08,6.0
1768465047316,3323.99,6.0,3322.24,6.0
1768465047425,3323.96,6.0,3322.21,6.0
1768465047585,3323.93,6.0,3322.18,6.0
1768465047925,3323.92,6.0,3322.17,6.0
1768465048031,3323.91,6.0,3322.16,6.0
1768465048155,3323.89,6.0,3322.14,6.0
1768465048265,3323.88,6.0,3322.13,6.0
1768465048380,3323.97,6.0,3322.22,6.0
1768465048664,3323.92,6.0,3322.17,6.0
1768465048782,3323.88,6.0,3322.13,6.0
1768465049117,3323.87,6.0,3322.12,6.0
1768465049244,3323.8,6.0,3322.05,6.0
1768465049515,3323.87,6.0,3322.12,6.0
1768465049727,3323.91,6.0,3322.16,6.0
1768465049855,3323.83,6.0,3322.08,6.0
1768465051758,3323.91,6.0,3322.16,6.0
1768465051865,3323.88,6.0,3322.13,6.0
1768465052077,3323.9,6.0,3322.15,6.0
1768465052190,3323.93,6.0,3322.18,6.0
1768465052303,3324.0,6.0,3322.25,6.0
1768465052424,3323.98,6.0,3322.23,6.0
1768465052544,3323.99,6.0,3322.24,6.0
1768465052647,3323.95,6.0,3322.2,6.0
1768465052864,3324.02,6.0,3322.27,6.0
1768465053009,3323.98,6.0,3322.23,6.0
1768465053345,3324.01,6.0,3322.26,6.0
1768465053855,3323.98,6.0,3322.23,6.0
1768465055105,3324.07,6.0,3322.32,6.0
1768465055217,3324.03,6.0,3322.28,6.0
1768465055505,3323.99,6.0,3322.24,6.0
1768465055831,3324.03,6.0,3322.28,6.0
1768465056066,3324.07,6.0,3322.32,6.0
1768465056174,3324.04,6.0,3322.29,6.0
1768465056307,3324.09,6.0,3322.34,6.0
1768465056535,3324.05,6.0,3322.3,6.0
1768465056715,3324.08,6.0,3322.33,6.0
1768465056928,3324.09,6.0,3322.34,6.0
1768465057044,3324.06,6.0,3322.31,6.0
1768465057154,3324.07,6.0,3322.32,6.0
1768465057265,3324.06,6.0,3322.31,6.0
1768465057374,3324.11,6.0,3322.36,6.0
1768465057702,3324.07,6.0,3322.32,6.0
1768465063105,3324.06,6.0,3322.31,6.0
1768465063699,3324.15,6.0,3322.4,6.0
1768465063808,3324.11,6.0,3322.36,6.0
1768465064046,3324.07,6.0,3322.32,6.0
1768465064317,3324.15,6.0,3322.4,6.0
1768465064445,3324.14,6.0,3322.39,6.0
1768465064674,3324.11,6.0,3322.36,6.0
1768465064894,3324.18,6.0,3322.43,6.0
1768465065017,3324.16,6.0,3322.41,6.0
1768465065118,3324.13,6.0,3322.38,6.0
1768465067933,3324.17,6.0,3322.42,6.0
1768465068070,3324.14,6.0,3322.39,6.0
1768465069427,3324.12,6.0,3322.37,6.0
1768465070688,3324.09,6.0,3322.34,6.0
1768465070945,3324.1,6.0,3322.35,6.0
1768465071305,3324.19,6.0,3322.44,6.0
1768465071409,3324.16,6.0,3322.41,6.0
1768465071665,3324.12,6.0,3322.37,6.0
1768465072373,3324.19,6.0,3322.44,6.0
1768465072590,3324.13,6.0,3322.38,6.0
1768465073345,3324.11,6.0,3322.36,6.0
1768465073454,3324.15,6.0,3322.4,6.0
1768465073569,3324.16,6.0,3322.41,6.0
1768465073795,3324.19,6.0,3322.44,6.0
1768465074015,3324.12,6.0,3322.37,6.0
1768465074484,3324.1,6.0,3322.35,6.0
1768465074595,3324.14,6.0,3322.39,6.0
1768465074714,3324.15,6.0,3322.4,6.0
1768465074827,3324.11,6.0,3322.36,6.0
1768465075190,3324.1,6.0,3322.35,6.0
1768465075646,3324.19,6.0,3322.44,6.0
1768465075865,3324.1,6.0,3322.35,6.0
1768465076385,3324.19,6.0,3322.44,6.0
1768465076542,3324.16,6.0,3322.41,6.0
1768465076885,3324.12,6.0,3322.37,6.0
1768465077585,3324.19,6.0,3322.44,6.0
1768465077925,3324.12,6.0,3322.37,6.0
1768465079251,3324.1,6.0,3322.35,6.0
1768465080096,3324.19,6.0,3322.44,6.0
1768465080324,3324.12,6.0,3322.37,6.0
1768465081176,3324.1,6.0,3322.35,6.0
1768465081745,3324.19,6.0,3322.44,6.0
1768465081871,3324.12,6.0,3322.37,6.0
1768465081985,3324.16,6.0,3322.41,6.0
1768465082204,3324.13,6.0,3322.38,6.0
1768465082801,3324.11,6.0,3322.36,6.0
1768465083136,3324.12,6.0,3322.37,6.0
1768465083367,3324.17,6.0,3322.42,6.0
1768465083491,3324.09,6.0,3322.34,6.0
1768465084110,3324.1,6.0,3322.35,6.0
1768465084212,3324.06,6.0,3322.31,6.0
1768465084314,3324.07,6.0,3322.32,6.0
1768465084545,3324.1,6.0,3322.35,6.0
1768465085339,3324.19,6.0,3322.44,6.0
1768465085574,3324.1,6.0,3322.35,6.0
1768465085685,3324.09,6.0,3322.34,6.0
1768465085793,3324.07,6.0,3322.32,6.0
1768465085895,3324.12,6.0,3322.37,6.0
1768465086006,3324.07,6.0,3322.32,6.0
1768465086190,3324.08,6.0,3322.33,6.0
1768465086256,3324.18,6.0,3322.43,6.0
1768465086467,3324.08,6.0,3322.33,6.0
1768465086597,3324.13,6.0,3322.38,6.0
1768465086699,3324.11,6.0,3322.36,6.0
1768465086824,3324.09,6.0,3322.34,6.0
1768465087046,3324.08,6.0,3322.33,6.0
1768465088393,3324.17,6.0,3322.42,6.0
1768465088530,3324.13,6.0,3322.38,6.0
1768465088791,3324.08,6.0,3322.33,6.0
1768465088800,3324.17,6.0,3322.42,6.0
1768465088902,3324.13,6.0,3322.38,6.0
1768465089496,3324.08,6.0,3322.33,6.0
1768465089605,3324.17,6.0,3322.42,6.0
1768465089815,3324.08,6.0,3322.33,6.0
1768465090490,3324.03,6.0,3322.28,6.0
1768465090725,3324.07,6.0,3322.32,6.0
1768465091281,3324.18,6.0,3322.43,6.0
1768465091395,3324.19,6.0,3322.44,6.0
1768465091505,3324.11,6.0,3322.36,6.0
1768465091947,3324.15,6.0,3322.4,6.0
1768465092177,3324.17,6.0,3322.42,6.0
1768465092393,3324.22,6.0,3322.47,6.0
1768465092495,3324.23,6.0,3322.48,6.0
1768465092734,3324.2,6.0,3322.45,6.0
1768465093459,3324.3,6.0,3322.55,6.0
1768465093567,3324.29,6.0,3322.54,6.0
1768465093687,3324.23,6.0,3322.48,6.0
1768465093747,3324.34,6.0,3322.59,6.0
1768465093884,3324.33,6.0,3322.58,6.0
1768465093985,3324.43,6.0,3322.68,6.0
