timestamp,ask,ask_size,bid,bid_size
1768465013409,4605.85,40.0,4605.55,40.0
1768465013529,4605.94,40.0,4605.64,40.0
1768465013534,4605.98,40.0,4605.68,40.0
1768465013539,4606.0,40.0,4605.7,40.0
1768465013570,4606.07,40.0,4605.77,40.0
1768465013797,4606.09,40.0,4605.79,40.0
1768465014299,4606.08,40.0,4605.78,40.0
1768465014998,4606.07,40.0,4605.77,40.0
1768465015303,4606.09,40.0,4605.79,40.0
1768465015717,4606.08,40.0,4605.78,40.0
1768465015981,4606.05,40.0,4605.75,40.0
1768465015985,4605.93,40.0,4605.63,40.0
1768465016025,4605.89,40.0,4605.59,40.0
1768465016229,4605.84,40.0,4605.54,40.0
1768465016556,4605.78,40.0,4605.48,40.0
1768465016738,4605.76,40.0,4605.46,40.0
1768465016778,4605.73,40.0,4605.43,40.0
1768465016825,4605.72,40.0,4605.42,40.0
1768465016832,4605.75,40.0,4605.45,40.0
1768465017122,4605.84,40.0,4605.54,40.0
1768465017306,4605.87,40.0,4605.57,40.0
1768465017496,4605.86,40.0,4605.56,40.0
1768465017697,4605.87,40.0,4605.57,40.0
1768465017711,4605.97,40.0,4605.67,40.0
1768465017961,4606.03,40.0,4605.73,40.0
1768465018682,4606.02,40.0,4605.72,40.0
1768465018932,4606.05,40.0,4605.75,40.0
1768465019298,4606.03,40.0,4605.73,40.0
1768465019320,4605.95,40.0,4605.65,40.0
1768465019559,4605.92,40.0,4605.62,40.0
1768465019571,4605.8,40.0,4605.5,40.0
1768465019615,4605.75,40.0,4605.45,40.0
1768465019737,4605.79,40.0,4605.49,40.0
1768465019846,4605.78,40.0,4605.48,40.0
1768465019982,4605.74,40.0,4605.44,40.0
1768465020061,4605.76,40.0,4605.46,40.0
1768465020323,4605.71,40.0,4605.41,40.0
1768465020580,4605.7,40.0,4605.4,40.0
1768465020722,4605.71,40.0,4605.41,40.0
1768465021062,4605.76,40.0,4605.46,40.0
1768465021566,4605.75,40.0,4605.45,40.0
1768465021593,4605.73,40.0,4605.43,40.0
1768465021853,4605.7,40.0,4605.4,40.0
1768465022030,4605.67,40.0,4605.37,40.0
1768465022073,4605.65,40.0,4605.35,40.0
1768465022328,4605.61,40.0,4605.31,40.0
1768465022608,4605.57,40.0,4605.27,40.0
1768465022857,4605.58,40.0,4605.28,40.0
1768465023852,4605.55,40.0,4605.25,40.0
1768465024017,4605.56,40.0,4605.26,40.0
1768465024022,4605.65,40.0,4605.35,40.0
1768465024619,4605.63,40.0,4605.33,40.0
1768465025378,4605.6,40.0,4605.3,40.0
1768465026606,4605.56,40.0,4605.26,40.0
1768465026887,4605.49,40.0,4605.19,40.0
1768465027136,4605.47,40.0,4605.17,40.0
1768465027226,4605.4,40.0,4605.1,40.0
1768465027384,4605.38,40.0,4605.08,40.0
1768465027541,4605.34,40.0,4605.04,40.0
1768465027755,4605.35,40.0,4605.05,40.0
1768465028066,4605.36,40.0,4605.06,40.0
1768465028596,4605.37,40.0,4605.07,40.0
1768465029088,4605.36,40.0,4605.06,40.0
1768465029333,4605.31,40.0,4605.01,40.0
1768465029593,4605.28,40.0,4604.98,40.0
1768465029964,4605.31,40.0,4605.01,40.0
1768465030090,4605.33,40.0,4605.03,40.0
1768465030514,4605.31,40.0,4605.01,40.0
1768465030766,4605.34,40.0,4605.04,40.0
1768465031417,4605.33,40.0,4605.03,40.0
1768465031605,4605.34,40.0,4605.04,40.0
1768465032558,4605.33,40.0,4605.03,40.0
1768465032675,4605.32,40.0,4605.02,40.0
1768465032919,4605.31,40.0,4605.01,40.0
1768465033433,4605.3,40.0,4605.0,40.0
