date,epic,direction,pnl,exit,duration
2025-11-10T12:19:51.548407,EURUSD,BUY,0.00032999999999994145,TP,279s
2025-11-10T12:22:29.521516,EURUSD,BUY,0.00033157142857143107,TP,190s
2025-11-10T12:23:55.649285,EURUSD,BUY,0.00033157142857143107,TP,180s
2025-11-10T12:32:51.123037,EURUSD,BUY,5.549999999976407e-05,TrailSL,82s
2025-11-10T12:40:19.024069,EURUSD,BUY,-0.00012114285714281969,SL,97s
2025-11-10T12:40:45.326068,EURUSD,BUY,-0.00012114285714281969,SL,157s
2025-11-10T12:40:45.480768,EURUSD,BUY,-7.00000000000145e-05,TrailSL,294s
2025-11-10T12:40:54.566049,EURUSD,SELL,0.0003834285714285901,TP,502s
2025-11-10T12:43:50.135377,EURUSD,SELL,0.0003865714285713473,TP,644s
2025-11-10T12:45:35.948509,EURUSD,SELL,0.0003928571428573058,TP,716s
2025-11-10T12:55:31.240043,EURUSD,BUY,0.0003425714285714143,TP,116s
2025-11-10T12:58:17.091986,EURUSD,BUY,-3.8900000000063883e-05,TrailSL,161s
2025-11-10T12:58:17.093095,EURUSD,BUY,6.089999999980833e-05,TrailSL,252s
2025-11-10T13:02:58.384383,EURUSD,SELL,0.00010670000000012614,TrailSL,284s
2025-11-10T13:03:00.909580,EURUSD,SELL,-0.00013429999999980957,TrailSL,195s
2025-11-10T13:05:55.929603,EURUSD,BUY,-0.000140000000000029,SL,147s
2025-11-10T13:08:29.925891,EURUSD,SELL,-0.00013942857142867915,SL,232s
2025-11-10T13:09:16.415361,EURUSD,BUY,0.0003850000000000797,TP,381s
2025-11-10T13:09:16.424472,EURUSD,BUY,0.00037085714285711724,TP,155s
2025-11-10T13:11:33.585101,EURUSD,BUY,-0.00013771428571418554,SL,130s
2025-11-10T13:16:02.085268,EURUSD,SELL,-0.00013485714285721428,SL,337s
2025-11-10T13:17:51.618544,EURUSD,SELL,-0.00012114285714281969,SL,144s
2025-11-10T13:17:52.115919,EURUSD,BUY,0.00037714285714285367,TP,574s
2025-11-10T13:18:04.297091,EURUSD,BUY,0.0003457142857141715,TP,322s
2025-11-10T13:18:04.299073,EURUSD,BUY,0.00038028571428561087,TP,552s
2025-11-10T13:19:43.002915,EURUSD,BUY,0.0003425714285714143,TP,86s
2025-11-10T13:27:00.749009,EURUSD,BUY,-0.00012114285714281969,SL,83s
2025-11-10T13:27:18.800486,EURUSD,BUY,5.429999999995161e-05,TrailSL,481s
2025-11-10T13:27:37.094911,EURUSD,BUY,-2.8999999999834714e-05,TrailSL,467s
2025-11-10T13:27:37.095931,EURUSD,BUY,-9.440000000005e-05,TrailSL,401s
2025-11-10T13:32:02.385885,EURUSD,SELL,0.0003347142857144103,TP,294s
2025-11-10T13:32:17.528546,EURUSD,SELL,0.000359857142857134,TP,467s
2025-11-10T13:42:45.092103,EURUSD,SELL,-0.00012971428571417754,SL,28s
2025-11-10T13:42:52.176988,EURUSD,SELL,3.090000000005588e-05,TrailSL,158s
2025-11-10T13:54:13.323380,EURUSD,BUY,-0.00012140000000004925,TrailSL,284s
2025-11-10T13:54:13.324402,EURUSD,BUY,5.999999999994898e-05,TrailSL,685s
2025-11-10T14:00:27.701079,EURUSD,BUY,-9.670000000006063e-05,TrailSL,217s
2025-11-10T14:03:08.109370,EURUSD,SELL,0.0003614285714286236,TP,505s
2025-11-10T14:08:06.115218,EURUSD,SELL,0.00039914285714282016,TP,459s
